name,address1,state,postal,latitude,longitude,Units,SqFt,Status,flag
KO Storage of Aberdeen - US-12,38422 Hwy 12,SD,57401,45.4536907,-98.552354,477,149200,Existing,Existing
KO Storage of Addis - Belle Vale Dr,3648 Belle Vale Dr,LA,70710,30.3719088,-91.2558334,199,22300,Existing,Existing
KO Storage of Amery - WI-46,487 Wisconsin 46,WI,54001,45.2796883,-92.369572,364,87500,Existing,Existing
KO Storage of Auburn - Goldthwaite Rd,23 Goldthwaite Rd,ME,4210,44.0702217,-70.264207,231,24100,Existing,Existing
KO Storage of Austin 10th Dr SE,1208 10th Dr SE,MN,55912,43.6556677,-92.9575924,203,37450,Existing,Existing
KO Storage of Azle - Sandy Beach Rd,1250 Sandy Beach Road,TX,76020,32.9276992,-97.5236556,361,90375,Existing,Existing
KO Storage of Baton Rouge - Florida Blvd,4136 Florida Blvd,LA,70806,30.4500974,-91.1472224,128,15780,Existing,Existing
KO Storage of Baton Rouge Jefferson,12666 Jefferson Hwy,LA,70816,30.3938856,-91.0427406,86,11600,Existing,Existing
KO Storage of Baxter - Foley Rd S,6897 Foley Rd S,MN,56425,46.3496668,-94.2569538,129,19500,Existing,Existing
KO Storage of Bemidji - Sunnyside Rd SE,500 Sunnyside Rd SE,MN,56601,47.4611546,-94.7777098,152,25513,Existing,Existing
KO Storage of Berkeley Springs Kimber Ct,52 Kimber Court,WV,25411,39.6344349,-78.236801,84,11340,Existing,Existing
KO Storage of Berkeley Springs Valley N,5402 Valley Road,WV,25411,39.5557182,-78.2685043,214,24730,Existing,Existing
KO Storage of Berkeley Springs Valley S,10925 Valley Road,WV,25411,39.4801071,-78.3021001,104,13775,Existing,Existing
KO Storage of Berwick - School St,424 School Street,ME,3901,43.2844172,-70.8069271,113,16500,Existing,Existing
KO Storage of Bethany - NW 23rd St,7133 NW 23rd Street,OK,73008,35.493791,-97.6384309,433,60850,Existing,Existing
KO Storage of Billings White Rock,110 White Rock Rd,MO,65610,37.0957491,-93.5114325,381,82918.5,Existing,Existing
KO Storage of Black River Falls - Alder St,816 Alder St,WI,54615,44.3079759,-90.8496062,75,11000,Existing,Existing
KO Storage of Bonne Terre Carzon Rd,7510 Carzon Road,MO,63628,37.922497,-90.5341682,259,62848,Existing,Existing
KO Storage of Bonne Terre Oak St.,25 East Oak Street,MO,63628,37.9189992,-90.5499186,136,22650,Existing,Existing
KO Storage of Brackettville - W Military Hwy,651 East Military Hwy,TX,78832,29.305576,-100.411835,98,13100,Existing,Existing
KO Storage of Brainerd - Edgewood Dr N,15237 Edgewood Dr.,MN,56425,46.3727499,-94.2480702,391,91000,Existing,Existing
KO Storage of Brookline - US-60,6625 W US Hwy 60,MO,65619,37.1127109,-93.484564,245,36920,Existing,Existing
KO Storage of Pillager - Alfalfa Trail SW,1768 Alfalfa Trail SW,MN,56473,46.338256,-94.3730889,52,8000,Existing,Existing
KO Storage of Centerton - W Centerton Blvd,1601 W Centerton Blvd,AR,72719,36.3585037,-94.308283,393,72737,Existing,Existing
KO Storage of Cheyenne - E College Dr,711 East College Dr,WY,82007,41.1010722,-104.7918642,358,45728,Existing,Existing
KO Storage of Cheyenne Prosser Rd,207 E Prosser Rd,WY,82007,41.1057751,-104.7988849,196,33255,Existing,Existing
KO Storage of Cleburne - E Katherine P Rains Rd,791 E. Katherine P Rains Rd,TX,76031,32.3793931,-97.3807589,503,91500,Existing,Existing
KO Storage of Cleveland N Peninsula,1881 N Peninsula Drive East,OK,74020,36.1912456,-96.2742465,53,26120,Existing,Existing
KO Storage of Clinton Hinckley Rd,26B Hinckley Rd,ME,4927,44.6365944,-69.5113267,104,12000,Existing,Existing
